2016-10-20 18:27:20 startup archives install
2016-10-20 18:27:20 install base-passwd:armhf <none> 3.5.37
2016-10-20 18:27:20 status half-installed base-passwd:armhf 3.5.37
2016-10-20 18:27:20 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:20 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:20 configure base-passwd:armhf 3.5.37 3.5.37
2016-10-20 18:27:20 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:20 status half-configured base-passwd:armhf 3.5.37
2016-10-20 18:27:21 status installed base-passwd:armhf 3.5.37
2016-10-20 18:27:21 startup archives install
2016-10-20 18:27:21 install base-files:armhf <none> 8+deb8u6
2016-10-20 18:27:21 status half-installed base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 configure base-files:armhf 8+deb8u6 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:21 status half-configured base-files:armhf 8+deb8u6
2016-10-20 18:27:22 status installed base-files:armhf 8+deb8u6
2016-10-20 18:27:22 startup archives install
2016-10-20 18:27:22 upgrade dpkg 1.17.27 1.17.27
2016-10-20 18:27:22 status half-configured dpkg 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 status half-installed dpkg 1.17.27
2016-10-20 18:27:22 status half-installed dpkg 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 configure dpkg 1.17.27 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 status unpacked dpkg 1.17.27
2016-10-20 18:27:22 status half-configured dpkg 1.17.27
2016-10-20 18:27:22 status installed dpkg 1.17.27
2016-10-20 18:27:23 startup archives install
2016-10-20 18:27:23 install libc6:armhf <none> 2.19-18+deb8u6
2016-10-20 18:27:23 status half-installed libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:24 status unpacked libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:24 status unpacked libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:24 configure libc6:armhf 2.19-18+deb8u6 2.19-18+deb8u6
2016-10-20 18:27:24 status unpacked libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:24 status unpacked libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:24 status half-configured libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:24 status installed libc6:armhf 2.19-18+deb8u6
2016-10-20 18:27:24 startup archives install
2016-10-20 18:27:25 install perl-base:armhf <none> 5.20.2-3+deb8u6
2016-10-20 18:27:25 status half-installed perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:25 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:26 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:26 configure perl-base:armhf 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2016-10-20 18:27:26 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:26 status half-configured perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:26 status installed perl-base:armhf 5.20.2-3+deb8u6
2016-10-20 18:27:26 startup archives install
2016-10-20 18:27:26 install mawk:armhf <none> 1.3.3-17
2016-10-20 18:27:26 status half-installed mawk:armhf 1.3.3-17
2016-10-20 18:27:26 status unpacked mawk:armhf 1.3.3-17
2016-10-20 18:27:26 status unpacked mawk:armhf 1.3.3-17
2016-10-20 18:27:26 configure mawk:armhf 1.3.3-17 1.3.3-17
2016-10-20 18:27:26 status unpacked mawk:armhf 1.3.3-17
2016-10-20 18:27:26 status half-configured mawk:armhf 1.3.3-17
2016-10-20 18:27:26 status installed mawk:armhf 1.3.3-17
2016-10-20 18:27:26 startup archives install
2016-10-20 18:27:26 install debconf:all <none> 1.5.56
2016-10-20 18:27:26 status half-installed debconf:all 1.5.56
2016-10-20 18:27:26 status unpacked debconf:all 1.5.56
2016-10-20 18:27:26 status unpacked debconf:all 1.5.56
2016-10-20 18:27:26 configure debconf:all 1.5.56 1.5.56
2016-10-20 18:27:26 status unpacked debconf:all 1.5.56
2016-10-20 18:27:26 status unpacked debconf:all 1.5.56
2016-10-20 18:27:26 status unpacked debconf:all 1.5.56
2016-10-20 18:27:27 status unpacked debconf:all 1.5.56
2016-10-20 18:27:27 status half-configured debconf:all 1.5.56
2016-10-20 18:27:27 status installed debconf:all 1.5.56
2016-10-20 18:27:28 startup archives unpack
2016-10-20 18:27:28 install acl:armhf <none> 2.2.52-2
2016-10-20 18:27:28 status half-installed acl:armhf 2.2.52-2
2016-10-20 18:27:28 status unpacked acl:armhf 2.2.52-2
2016-10-20 18:27:28 status unpacked acl:armhf 2.2.52-2
2016-10-20 18:27:28 install libacl1:armhf <none> 2.2.52-2
2016-10-20 18:27:28 status half-installed libacl1:armhf 2.2.52-2
2016-10-20 18:27:28 status unpacked libacl1:armhf 2.2.52-2
2016-10-20 18:27:28 status unpacked libacl1:armhf 2.2.52-2
2016-10-20 18:27:28 install adduser:all <none> 3.113+nmu3
2016-10-20 18:27:28 status half-installed adduser:all 3.113+nmu3
2016-10-20 18:27:29 status unpacked adduser:all 3.113+nmu3
2016-10-20 18:27:29 status unpacked adduser:all 3.113+nmu3
2016-10-20 18:27:29 install libattr1:armhf <none> 1:2.4.47-2
2016-10-20 18:27:29 status half-installed libattr1:armhf 1:2.4.47-2
2016-10-20 18:27:29 status unpacked libattr1:armhf 1:2.4.47-2
2016-10-20 18:27:29 status unpacked libattr1:armhf 1:2.4.47-2
2016-10-20 18:27:29 install libaudit-common:all <none> 1:2.4-1
2016-10-20 18:27:29 status half-installed libaudit-common:all 1:2.4-1
2016-10-20 18:27:29 status unpacked libaudit-common:all 1:2.4-1
2016-10-20 18:27:29 status unpacked libaudit-common:all 1:2.4-1
2016-10-20 18:27:29 install libaudit1:armhf <none> 1:2.4-1+b1
2016-10-20 18:27:29 status half-installed libaudit1:armhf 1:2.4-1+b1
2016-10-20 18:27:29 status unpacked libaudit1:armhf 1:2.4-1+b1
2016-10-20 18:27:29 status unpacked libaudit1:armhf 1:2.4-1+b1
2016-10-20 18:27:29 upgrade base-files:armhf 8+deb8u6 8+deb8u6
2016-10-20 18:27:29 status half-configured base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status half-installed base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status half-installed base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:30 upgrade base-passwd:armhf 3.5.37 3.5.37
2016-10-20 18:27:30 status half-configured base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status half-installed base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status half-installed base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:30 install bash:armhf <none> 4.3-11+b1
2016-10-20 18:27:30 status half-installed bash:armhf 4.3-11+b1
2016-10-20 18:27:30 status unpacked bash:armhf 4.3-11+b1
2016-10-20 18:27:30 status unpacked bash:armhf 4.3-11+b1
2016-10-20 18:27:31 install libbz2-1.0:armhf <none> 1.0.6-7+b3
2016-10-20 18:27:31 status half-installed libbz2-1.0:armhf 1.0.6-7+b3
2016-10-20 18:27:31 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2016-10-20 18:27:31 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2016-10-20 18:27:31 install libdebconfclient0:armhf <none> 0.192
2016-10-20 18:27:31 status half-installed libdebconfclient0:armhf 0.192
2016-10-20 18:27:31 status unpacked libdebconfclient0:armhf 0.192
2016-10-20 18:27:31 status unpacked libdebconfclient0:armhf 0.192
